account_number,parcel_number,property_type,economic_area,site_address
R010592,378710001020,Residential,1,"600 RIO VISTA RD , GUNNISON"
R010593,378710001021,Residential,1,"622 RIO VISTA RD , GUNNISON"
R010594,378710001022,Residential,1,"306 ROUND TREE DR , GUNNISON"
R010595,378710001023,Residential,1,"274 ROUND TREE DR , GUNNISON"
R010596,378710001024,Residential,1,"238 ROUND TREE DR , GUNNISON"
R010597,378710001025,Residential,1,"175 ROUND TREE RD , GUNNISON"
R010598,378710001026,Residential,1,"121 ROUND TREE RD , GUNNISON"
R010600,378710001072,Residential,1,"43 MONTE VISTA DR , GUNNISON"
R010601,378710001031,Residential,1,"22 ROUND TREE RD , GUNNISON"
R010602,378710001032,Residential,1,"44 ROUND TREE RD , GUNNISON"
R010603,378710001033,Residential,1,"72 ROUND TREE RD , GUNNISON"
R010604,378710001034,Residential,1,"106 ROUND TREE RD , GUNNISON"
R010605,378710001035,Residential,1,"125 MONTE VISTA DR , GUNNISON"
R010606,378710001080,Residential,1,"175 MONTE VISTA DR , GUNNISON"
R010608,378710001038,Residential,1,"237 MONTE VISTA DR , GUNNISON"
R010609,378710001039,Residential,1,"271 MONTE VISTA DR , GUNNISON"
R010612,378710001042,Residential,1,"391 MONTE VISTA DR , GUNNISON"
R010615,378710001078,Residential,1,"781 RIO VISTA RD , GUNNISON"
R010619,378710001049,Residential,1,"474 MONTE VISTA DR , GUNNISON"
R010620,378710001050,Residential,1,"414 MONTE VISTA DR , GUNNISON"
R010621,378710001051,Residential,1,"396 MONTE VISTA DR , GUNNISON"
R010622,378710001052,Residential,1,"378 MONTE VISTA DR , GUNNISON"
R010623,378710001053,Residential,1,"374 MONTE VISTA DR , GUNNISON"
R010624,378710001054,Residential,1,"336 MONTE VISTA DR , GUNNISON"
R010625,378710001055,Residential,1,"292 MONTE VISTA DR , GUNNISON"
R010626,378710001056,Residential,1,"272 MONTE VISTA DR , GUNNISON"
R010627,378710001057,Residential,1,"234 MONTE VISTA DR , GUNNISON"
R010628,378710001058,Residential,1,"206 MONTE VISTA DR , GUNNISON"
R010629,378710001059,Residential,1,"106 MONTE VISTA DR , GUNNISON"
R010630,378710001060,Vacant,1,", GUNNISON"
R010631,378710001061,Residential,1,"93 ROUND TREE RD , GUNNISON"
R010632,378710001062,Residential,1,"427 RIO VISTA RD , GUNNISON"
R010635,378710002024,Residential,1,"288 FAIRWAY LN , GUNNISON"
R010636,378710002023,Residential,1,"350 FAIRWAY LN , GUNNISON"
R010637,378710002003,Residential,1,"382 FAIRWAY LN , GUNNISON"
R010638,378710002004,Residential,1,"404 FAIRWAY LN , GUNNISON"
R010639,378710002005,Residential,1,"430 FAIRWAY LN , GUNNISON"
R010640,378710002006,Residential,1,"458 FAIRWAY LN , GUNNISON"
R010641,378710002018,Residential,1,"478 FAIRWAY LN , GUNNISON"
R010642,378710002008,Residential,1,"530 FAIRWAY LN , GUNNISON"
R010647,378710002013,Residential,1,"656 FAIRWAY LN , GUNNISON"
R010648,378710002014,Residential,1,"684 FAIRWAY LN , GUNNISON"
R010649,378710002015,Residential,1,"722 FAIRWAY LN , GUNNISON"
R010650,378710002016,Vacant,1,"732 FAIRWAY LN , GUNNISON"
R010651,378710002017,Residential,1,"776 FAIRWAY LN , GUNNISON"
R010652,378710003001,Residential,1,"257 FAIRWAY LN , GUNNISON"
R010653,378710003002,Residential,1,"289 FAIRWAY LN , GUNNISON"
R010654,378710003003,Residential,1,"319 FAIRWAY LN , GUNNISON"
R010655,378710003004,Residential,1,"351 FAIRWAY LN , GUNNISON"
R010656,378710003005,Residential,1,"385 FAIRWAY LN , GUNNISON"
R010657,378710003006,Residential,1,"403 FAIRWAY LN , GUNNISON"
R010658,378710003007,Residential,1,"439 FAIRWAY LN , GUNNISON"
R010659,378710003008,Residential,1,"459 FAIRWAY LN , GUNNISON"
R010660,378710003009,Residential,1,"485 FAIRWAY LN , GUNNISON"
R010661,378710003010,Residential,1,"521 FAIRWAY LN , GUNNISON"
R010662,378710003011,Residential,1,"539 FAIRWAY LN , GUNNISON"
R010663,378710003012,Residential,1,"571 FAIRWAY LN , GUNNISON"
R010664,378710003013,Residential,1,"587 FAIRWAY LN , GUNNISON"
R010665,378710003014,Residential,1,"619 FAIRWAY LN , GUNNISON"
R010666,378710003015,Residential,1,"637 FAIRWAY LN , GUNNISON"
R010667,378710003016,Residential,1,"655 FAIRWAY LN , GUNNISON"
R010668,378710003017,Residential,1,"679 FAIRWAY LN , GUNNISON"
R010669,378710003018,Residential,1,"695 FAIRWAY LN , GUNNISON"
R010670,378710004002,Residential,1,"358 CAMINO DEL RIO , GUNNISON"
R010671,378710004030,Residential,1,"328 CAMINO DEL RIO , GUNNISON"
R010672,378710004004,Residential,1,"320 CAMINO DEL RIO , GUNNISON"
R010673,378710004005,Vacant,1,"386 CAMINO DEL RIO , GUNNISON"
R010675,378710004007,Commercial,1,"502 CAMINO DEL RIO , GUNNISON"
R010676,378710004008,Residential,1,"560 CAMINO DEL RIO , GUNNISON"
R010677,378710004009,Residential,1,"572 CAMINO DEL RIO , GUNNISON"
R010678,378710004034,Residential,1,"654 CAMINO DEL RIO , GUNNISON"
R010679,378710004011,Residential,1,"656 CAMINO DEL RIO , GUNNISON"
R010680,378710004014,Residential,1,"844 CAMINO DEL RIO , GUNNISON"
R010681,378710004016,Residential,1,"904 CAMINO DEL RIO , GUNNISON"
R010682,378710004019,Residential,1,"906 CAMINO DEL RIO , GUNNISON"
R010683,378710004020,Residential,1,"912 CAMINO DEL RIO , GUNNISON"
R010684,378710004021,Residential,1,"1014 CAMINO DEL RIO , GUNNISON"
R010685,378710004022,Residential,1,"818 CAMINO DEL RIO , GUNNISON"
R010686,378710004023,Residential,1,"908 CAMINO DEL RIO , GUNNISON"
R010687,378710004024,Residential,1,"900 CAMINO DEL RIO , GUNNISON"
R010688,378710004025,Residential,1,"190 CAMINO DEL RIO , GUNNISON"
R010689,378710004026,Residential,1,"200 CAMINO DEL RIO , GUNNISON"
R010690,378710004027,Residential,1,"813 CAMINO DEL RIO , GUNNISON"
R010691,378710004035,Residential,1,"732 CAMINO DEL RIO , GUNNISON"
R010692,378710004029,Residential,1,"736 CAMINO DEL RIO , GUNNISON"
R010693,378710005024,Vacant,1,", GUNNISON"
R010694,378710005003,Vacant,1,", GUNNISON"
R010695,378710005004,Residential,1,"43 W COTTONWOOD RD , GUNNISON"
R010696,378710005005,Residential,1,"143 W COTTONWOOD RD , GUNNISON"
R010697,378710005006,Residential,1,"175 W COTTONWOOD RD , GUNNISON"
R010698,378710005022,Residential,1,"227 W COTTONWOOD RD , GUNNISON"
R010699,378710005023,Residential,1,"291 W COTTONWOOD RD , GUNNISON"
R010700,378710005009,Residential,1,"395 W COTTONWOOD RD , GUNNISON"
R010701,378710005010,Residential,1,"396 W COTTONWOOD RD , GUNNISON"
R010702,378710005011,Residential,1,"384 W COTTONWOOD RD , GUNNISON"
R010703,378710005012,Residential,1,"332 W COTTONWOOD RD , GUNNISON"
R010704,378710005013,Vacant,1,"278 W COTTONWOOD RD , GUNNISON"
R010705,378710005014,Residential,1,"200 W COTTONWOOD RD , GUNNISON"
R010706,378710005015,Residential,1,"146 W COTTONWOOD RD , GUNNISON"
R010707,378710005020,Residential,1,"84 W COTTONWOOD RD , GUNNISON"
R010708,378710005017,Vacant,1,"COTTONWOOD RD , GUNNISON"
R010709,378710005018,Vacant,1,", GUNNISON"
R010711,378710006001,Residential,1,"203 TOMICHI TRL , GUNNISON"
R010712,378710006002,Residential,1,"205 TOMICHI TRL , GUNNISON"
R010713,378710006003,Residential,1,"289 TOMICHI TRL , GUNNISON"
R010714,378710006004,Residential,1,"321 TOMICHI TRL , GUNNISON"
R010715,378710006005,Residential,1,"335 TOMICHI TRL , GUNNISON"
R010716,378710006006,Residential,1,"381 TOMICHI TRL , GUNNISON"
R010717,378710006007,Residential,1,"419 TOMICHI TRL , GUNNISON"
R010718,378710006008,Residential,1,"463 TOMICHI TRL , GUNNISON"
R010719,378710006009,Residential,1,"495 TOMICHI TRL , GUNNISON"
R010720,378710006011,Residential,1,"567 TOMICHI TRL , GUNNISON"
R010721,378710006047,Residential,1,"609 TOMICHI TRL , GUNNISON"
R010722,378710006041,Residential,1,"635 TOMICHI TRL , GUNNISON"
R010724,378710006015,Residential,1,"656 TOMICHI TRL , GUNNISON"
R010725,378710006016,Residential,1,"634 TOMICHI TRL , GUNNISON"
R010727,378710006042,Mixed Use,1,"588 TOMICHI TRL , GUNNISON"
R010728,378710006019,Residential,1,"566 TOMICHI TRL , GUNNISON"
R010729,378710006020,Residential,1,"530 TOMICHI TRL , GUNNISON"
R010730,378710006021,Residential,1,"496 TOMICHI TRL , GUNNISON"
R010731,378710006022,Residential,1,"482 TOMICHI TRL , GUNNISON"
R010732,378710006023,Residential,1,"468 TOMICHI TRL , GUNNISON"
R010733,378710006027,Residential,1,"422 TOMICHI TRL , GUNNISON"
R010734,378710006044,Residential,1,"382 TOMICHI TRL , GUNNISON"
R010735,378710006029,Residential,1,"340 TOMICHI TRL , GUNNISON"
R010736,378710006030,Residential,1,"326 TOMICHI TRL , GUNNISON"
R010737,378710006031,Residential,1,"288 TOMICHI TRL , GUNNISON"
R010738,378710006032,Residential,1,"266 TOMICHI TRL , GUNNISON"
R010739,378710006033,Residential,1,"244 TOMICHI TRL , GUNNISON"
R010740,378710006034,Residential,1,"222 TOMICHI TRL , GUNNISON"
R010741,378710006035,Residential,1,"200 TOMICHI TRL , GUNNISON"
R010742,378710006036,Residential,1,"555 TOMICHI TRL , GUNNISON"
R010743,378710006037,Residential,1,"529 TOMICHI TRL , GUNNISON"
R010744,378710006038,Vacant,1,"444 TOMICHI TRL , GUNNISON"
R010745,378710007001,Residential,1,"733 FAIRWAY LN , GUNNISON"
R010746,378710007002,Residential,1,"751 FAIRWAY LN , GUNNISON"
R010747,378710007003,Residential,1,"777 FAIRWAY LN , GUNNISON"
R010748,378710007004,Residential,1,"795 FAIRWAY LN , GUNNISON"
R010749,378710007007,Residential,1,"851 FAIRWAY LN , GUNNISON"
R010750,378710007045,Residential,1,"879 FAIRWAY LN , GUNNISON"
R010752,378710007010,Vacant,1,"909 FAIRWAY LN , GUNNISON"
R010753,378710007011,Residential,1,"927 FAIRWAY LN , GUNNISON"
R010756,378710007014,Residential,1,"987 FAIRWAY LN , GUNNISON"
R010758,378710007042,Residential,1,"1023 FAIRWAY LN , GUNNISON"
R010759,378710007017,Residential,1,"1045 FAIRWAY LN , GUNNISON"
R010760,378710007018,Residential,1,"1061 FAIRWAY LN , GUNNISON"
R010761,378710007019,Residential,1,"1083 FAIRWAY LN , GUNNISON"
R010762,378710007020,Residential,1,"1099 FAIRWAY LN , GUNNISON"
R010763,378710007021,Residential,1,"1117 FAIRWAY LN , GUNNISON"
R010764,378710007022,Residential,1,"1116 FAIRWAY LN , GUNNISON"
R010765,378710007023,Residential,1,"1088 FAIRWAY LN , GUNNISON"
R010766,378710007024,Vacant,1,"1080 FAIRWAY LN , GUNNISON"
R010767,378710007025,Residential,1,"1056 FAIRWAY LN , GUNNISON"
R010768,378710007026,Residential,1,"1034 FAIRWAY LN , GUNNISON"
R010769,378710007027,Residential,1,"1018 FAIRWAY LN , GUNNISON"
R010770,378710007028,Residential,1,"996 FAIRWAY LN , GUNNISON"
R010771,378710007029,Residential,1,"974 FAIRWAY LN , GUNNISON"
R010772,378710007044,Residential,1,"918 FAIRWAY LN , GUNNISON"
R010773,378710007031,Vacant,1,"813 FAIRWAY LN , GUNNISON"
R010774,378710007032,Vacant,1,"835 FAIRWAY LN , GUNNISON"
R010775,378710025001,Residential,1,"104 CAMINO DEL RIO UNIT# 15, GUNNISON"
R010776,378710025002,Residential,1,"104 CAMINO DEL RIO UNIT# 16, GUNNISON"
R010777,378710025004,Residential,1,"100 CAMINO DEL RIO UNIT# 13, GUNNISON"
R010778,378710025005,Residential,1,"100 CAMINO DEL RIO UNIT# 12, GUNNISON"
R010779,378710025006,Residential,1,"100 CAMINO DEL RIO UNIT# 11, GUNNISON"
R010780,378710026007,Residential,1,"108 CAMINO DEL RIO UNIT# 17, GUNNISON"
R010781,378710026008,Residential,1,"108 CAMINO DEL RIO UNIT# 18, GUNNISON"
R010782,378710026009,Residential,1,"108 CAMINO DEL RIO UNIT# 19, GUNNISON"
R010783,378710026010,Residential,1,"108 CAMINO DEL RIO UNIT# 20, GUNNISON"
R010784,378710026011,Residential,1,"112 CAMINO DEL RIO UNIT# 21, GUNNISON"
R010785,378710026012,Residential,1,"112 CAMINO DEL RIO UNIT# 22, GUNNISON"
R010786,378710026013,Residential,1,"112 CAMINO DEL RIO UNIT# 23, GUNNISON"
R010787,378710026014,Residential,1,"112 CAMINO DEL RIO UNIT# 24, GUNNISON"
R010788,378710027015,Residential,1,"114 CAMINO DEL RIO UNIT# 25, GUNNISON"
R010789,378710027016,Residential,1,"114 CAMINO DEL RIO UNIT# 26, GUNNISON"
R010790,378710027017,Residential,1,"114 CAMINO DEL RIO UNIT# 27, GUNNISON"
R010791,378710027018,Residential,1,"116 CAMINO DEL RIO UNIT# 28, GUNNISON"
R010792,378710025029,Residential,1,"100 CAMINO DEL RIO UNIT# 14, GUNNISON"
R010794,378710028021,Residential,1,"116 CAMINO DEL RIO UNIT# 29, GUNNISON"
R010795,378710028022,Residential,1,"116 CAMINO DEL RIO UNIT# 30, GUNNISON"
R010796,378710028023,Residential,1,"116 CAMINO DEL RIO UNIT# 31, GUNNISON"
R010797,378710028024,Residential,1,"116 CAMINO DEL RIO UNIT# 32, GUNNISON"
R010798,378710029025,Residential,1,"118 CAMINO DEL RIO UNIT# 33, GUNNISON"
R010800,378710029027,Residential,1,"120 CAMINO DEL RIO UNIT# 35, GUNNISON"
R010802,378710009001,Residential,1,"105 SHAVANO DR UNIT# B-8, GUNNISON"
R010803,378710009002,Residential,1,"105 SHAVANO DR UNIT# B-7, GUNNISON"
R010804,378710009003,Residential,1,"105 SHAVANO DR UNIT# B-6, GUNNISON"
R010805,378710009004,Residential,1,"105 SHAVANO DR UNIT# B-5, GUNNISON"
R010806,378710009005,Residential,1,"105 SHAVANO DR UNIT# B-4, GUNNISON"
R010807,378710009006,Residential,1,"105 SHAVANO DR UNIT# B-3, GUNNISON"
R010808,378710009007,Residential,1,"105 SHAVANO DR UNIT# B-2, GUNNISON"
R010809,378710009008,Residential,1,"105 SHAVANO DR UNIT# B-1, GUNNISON"
R010810,378710009009,Residential,1,"107 SHAVANO DR UNIT# A-1, GUNNISON"
R010811,378710009010,Residential,1,"107 SHAVANO DR UNIT# A-2, GUNNISON"
R010812,378710009011,Residential,1,"107 SHAVANO DR UNIT# A-3, GUNNISON"
R010813,378710009013,Residential,1,"107 SHAVANO DR UNIT# A-5, GUNNISON"
R010814,378710009014,Residential,1,"107 SHAVANO DR UNIT# A-6, GUNNISON"
R010815,378710009015,Residential,1,"109 SHAVANO DR UNIT# E-1, GUNNISON"
R010816,378710009016,Residential,1,"109 SHAVANO DR UNIT# E-2, GUNNISON"
R010817,378710009017,Residential,1,"109 SHAVANO DR UNIT# E-3, GUNNISON"
R010818,378710009018,Residential,1,"109 SHAVANO DR UNIT# E-4, GUNNISON"
R010819,378710009019,Residential,1,"109 SHAVANO DR UNIT# E-5, GUNNISON"
R010820,378710009020,Residential,1,"109 SHAVANO DR UNIT# E-6, GUNNISON"
R010821,378710009021,Residential,1,"109 SHAVANO DR UNIT# E-7, GUNNISON"
R010822,378710009022,Residential,1,"109 SHAVANO DR UNIT# E-8, GUNNISON"
R010823,378710009023,Residential,1,"111 SHAVANO DR UNIT# F1, GUNNISON"
R010824,378710009024,Residential,1,"111 SHAVANO DR UNIT# F2, GUNNISON"
R010825,378710009025,Residential,1,"111 SHAVANO DR UNIT# F-3, GUNNISON"
R010826,378710009026,Residential,1,"111 SHAVANO DR UNIT# F-4, GUNNISON"
R010827,378710009027,Residential,1,"111 SHAVANO DR UNIT# F-5, GUNNISON"
R010828,378710009028,Residential,1,"101 SHAVANO DR UNIT# C-1, GUNNISON"
R010829,378710009030,Residential,1,"101 SHAVANO DR UNIT# C-3, GUNNISON"
R010830,378710009031,Residential,1,"101 SHAVANO DR UNIT# C-4, GUNNISON"
R010831,378710009032,Residential,1,"101 SHAVANO DR UNIT# C-5, GUNNISON"
R010832,378710009033,Residential,1,"101 SHAVANO DR UNIT# C-6, GUNNISON"
R010833,378710009036,Residential,1,"101 SHAVANO DR UNIT# C2, GUNNISON"
R010834,378710009039,Residential,1,"107 SHAVANO DR UNIT# A4, GUNNISON"
R010836,378710010001,Residential,1,"113 SHAVANO DR UNIT# 212 C, GUNNISON"
R010837,378710010004,Residential,1,"113 SHAVANO DR UNIT# 210 C, GUNNISON"
R010838,378710010034,Residential,1,"113 SHAVANO DR UNIT# 209 C, GUNNISON"
R010839,378710010006,Residential,1,"115 SHAVANO DR UNIT# 208 B, GUNNISON"
R010840,378710010007,Residential,1,"115 SHAVANO DR UNIT# 207 B, GUNNISON"
R010841,378710010010,Residential,1,"115 SHAVANO DR UNIT# 205 B, GUNNISON"
R010842,378710010011,Residential,1,"117 SHAVANO DR UNIT# 204 A, GUNNISON"
R010843,378710010012,Residential,1,"117 SHAVANO DR UNIT# 203 A, GUNNISON"
R010844,378710010013,Residential,1,"117 SHAVANO DR UNIT# 202 A, GUNNISON"
R010845,378710010014,Residential,1,"117 SHAVANO DR UNIT# 201 A, GUNNISON"
R010846,378710010015,Residential,1,"117 SHAVANO DR UNIT# 101 A, GUNNISON"
R010847,378710010016,Residential,1,"117 SHAVANO DR UNIT# 102A, GUNNISON"
R010848,378710010017,Residential,1,"117 SHAVANO DR UNIT# 103 A, GUNNISON"
R010849,378710010018,Residential,1,"117 SHAVANO DR UNIT# 104 A, GUNNISON"
R010850,378710010020,Residential,1,"115 SHAVANO DR UNIT# 106B, GUNNISON"
R010851,378710010023,Residential,1,"115 SHAVANO DR UNIT# 108 B, GUNNISON"
R010852,378710010024,Residential,1,"113 SHAVANO DR UNIT# 109 C, GUNNISON"
R010853,378710010025,Residential,1,"113 SHAVANO DR UNIT# 110 C, GUNNISON"
R010854,378710010026,Residential,1,"113 SHAVANO DR UNIT# 111 C, GUNNISON"
R010855,378710010027,Residential,1,"113 SHAVANO DR UNIT# 112C, GUNNISON"
R010856,378710010028,Residential,1,"115 SHAVANO DR UNIT# 206 B, GUNNISON"
R010857,378710010029,Residential,1,"113 SHAVANO DR UNIT# 211 C, GUNNISON"
R010858,378710010033,Residential,1,"115 SHAVANO DR UNIT# 105 B, GUNNISON"
R010860,378710010032,Residential,1,"115 SHAVANO DR UNIT# 107 B, GUNNISON"
R010861,378710011001,Residential,1,"165 CAMINO DEL RIO UNIT# 1, GUNNISON"
R010862,378710011002,Residential,1,"165 CAMINO DEL RIO UNIT# 2, GUNNISON"
R010863,378710011003,Residential,1,"165 CAMINO DEL RIO UNIT# 3, GUNNISON"
R010864,378710011004,Residential,1,"165 CAMINO DEL RIO UNIT# 4, GUNNISON"
R010865,378710011005,Residential,1,"169 CAMINO DEL RIO UNIT# 5, GUNNISON"
R010866,378710011006,Residential,1,"169 CAMINO DEL RIO UNIT# 6, GUNNISON"
R010867,378710011007,Residential,1,"169 CAMINO DEL RIO UNIT# 7, GUNNISON"
R010868,378710011008,Residential,1,"169 CAMINO DEL RIO UNIT# 8, GUNNISON"
R010869,378710011009,Residential,1,"173 CAMINO DEL RIO UNIT# 9, GUNNISON"
R010870,378710011010,Residential,1,"173 CAMINO DEL RIO UNIT# 10, GUNNISON"
R010871,378710012001,Residential,1,"61 E COTTONWOOD RD UNIT# B, GUNNISON"
R010872,378710012002,Residential,1,"61 E COTTONWOOD RD UNIT# A, GUNNISON"
R010873,378710012003,Residential,1,"62 E COTTONWOOD RD UNIT# A, GUNNISON"
R010874,378710012004,Residential,1,"62 E COTTONWOOD RD UNIT# B, GUNNISON"
R010875,378710012005,Residential,1,"59 E COTTONWOOD RD UNIT# A, GUNNISON"
R010876,378710012006,Residential,1,"59 E COTTONWOOD RD UNIT# B, GUNNISON"
R010877,378710013001,Residential,1,"488 CURECANTI DR UNIT# 1, GUNNISON"
R010878,378710013002,Residential,1,"488 CURECANTI DR UNIT# 2, GUNNISON"
R010879,378710013003,Residential,1,"490 CURECANTI DR UNIT# 3, GUNNISON"
R010880,378710013004,Residential,1,"490 CURECANTI DR UNIT# 4, GUNNISON"
R010881,378710013005,Residential,1,"494 CURECANTI DR UNIT# 7, GUNNISON"
R010882,378710013006,Residential,1,"494 CURECANTI DR UNIT# 8, GUNNISON"
R010883,378710013007,Residential,1,"492 CURECANTI DR UNIT# 5, GUNNISON"
R010884,378710013008,Residential,1,"492 CURECANTI DR UNIT# 6, GUNNISON"
R010885,378710013009,Residential,1,"496 CURECANTI DR UNIT# 9, GUNNISON"
R010886,378710013010,Residential,1,"496 CURECANTI DR UNIT# 10, GUNNISON"
R010887,378710013011,Residential,1,"498 CURECANTI DR UNIT# 11, GUNNISON"
R010888,378710013040,Residential,1,"498 CURECANTI DR UNIT# 12, GUNNISON"
R010889,378710013013,Residential,1,"500 CURECANTI DR UNIT# 14A, GUNNISON"
R010890,378710013014,Residential,1,"500 CURECANTI DR UNIT# 14B, GUNNISON"
R010891,378710013033,Residential,1,"502 CURECANTI DR UNIT# 15, GUNNISON"
R010892,378710013016,Residential,1,"502 CURECANTI DR UNIT# 16, GUNNISON"
R010893,378710013017,Residential,1,"504 CURECANTI DR UNIT# 17, GUNNISON"
R010894,378710013018,Residential,1,"504 CURECANTI DR UNIT# 18, GUNNISON"
R010897,378710013021,Residential,1,"508 CURECANTI DR UNIT# 21, GUNNISON"
R010898,378710013022,Residential,1,"508 CURECANTI DR UNIT# 22, GUNNISON"
R010899,378710014001,Residential,1,"33 WILD GOOSE LN , GUNNISON"
R010900,378710014002,Residential,1,"31 WILD GOOSE LN , GUNNISON"
R010901,378710014003,Residential,1,"29 WILD GOOSE LN , GUNNISON"
R010903,378710014005,Residential,1,"26 WILD GOOSE LN , GUNNISON"
R010905,378710014007,Residential,1,"24 WILD GOOSE LN , GUNNISON"
R010908,378710014011,Residential,1,"20 WILD GOOSE LN , GUNNISON"
R010909,378710014012,Residential,1,"18 WILD GOOSE LN UNIT# 10-E, GUNNISON"
R010910,378711000001,Exempt,1,","
R010911,378711000002,Exempt,1,"195 BASIN PARK DR , GUNNISON"
R010912,378711000018,Mixed Use,1,"105 COUNTY ROAD 50 , HARTMAN ROCKS AREA"
R010913,378711000004,Residential,1,"259 COUNTY ROAD 50 , HARTMAN ROCKS AREA"
R010914,378711000006,Residential,1,"281 COUNTY ROAD 50 , HARTMAN ROCKS AREA"
R010921,378711000015,Residential,1,"594 COUNTY ROAD 50 , HARTMAN ROCKS AREA"
R010922,378714000001,Agricultural,1,"2031 COUNTY ROAD 38 , HARTMAN ROCKS AREA"
R010923,378714000005,Residential,1,"544 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010924,378714000006,Residential,1,"124 YUCCA CT , HARTMAN ROCKS AREA"
R010926,378714000021,Residential,1,"3329 COUNTY ROAD 38 , HARTMAN ROCKS AREA"
R010931,378714000014,Agricultural,1,","
R010932,378714000015,Mixed Use,1,"913 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010933,378714001001,Residential,1,"2809 COUNTY ROAD 38 , HARTMAN ROCKS AREA"
R010934,378714001002,Vacant,1,"WILLOW TRL , HARTMAN ROCKS AREA"
R010935,378714001003,Residential,1,"2841 COUNTY ROAD 38 , HARTMAN ROCKS AREA"
R010936,378714001004,Residential,1,"67 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010938,378714001006,Residential,1,"123 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010939,378714001007,Residential,1,"159 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010940,378714001008,Mixed Use,1,"161 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010941,378714001009,Residential,1,"215 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010942,378714001010,Residential,1,"319 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010943,378714001011,Vacant,1,"HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010944,378714002001,Residential,1,"320 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010945,378714002002,Residential,1,"414 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010946,378714002003,Residential,1,"510 HARTMAN ROCKS DR , HARTMAN ROCKS AREA"
R010948,378714003002,Residential,1,"353 COLUMBINE RD , HARTMAN ROCKS AREA"
R010949,378714003003,Residential,1,"319 COLUMBINE RD , HARTMAN ROCKS AREA"
R010950,378714003022,Residential,1,"281 COLUMBINE RD , HARTMAN ROCKS AREA"
R010952,378714003007,Residential,1,"96 YUCCA CT , HARTMAN ROCKS AREA"
R010953,378714003008,Residential,1,"64 YUCCA CT , HARTMAN ROCKS AREA"
R010956,378714003046,Residential,1,"141 COLUMBINE RD , HARTMAN ROCKS AREA"
R010957,378714003044,Residential,1,"107 COLUMBINE RD , HARTMAN ROCKS AREA"
R010958,378714003036,Residential,1,"73 COLUMBINE RD , HARTMAN ROCKS AREA"
R010959,378714003037,Residential,1,"49 COLUMBINE RD , HARTMAN ROCKS AREA"
R010960,378714003039,Residential,1,"17 COLUMBINE RD , HARTMAN ROCKS AREA"
R010961,378714003023,Residential,1,"249 COLUMBINE RD , HARTMAN ROCKS AREA"
R010964,378714004001,Residential,1,"248 COLUMBINE RD , HARTMAN ROCKS AREA"
R010965,378714004002,Residential,1,"212 COLUMBINE RD , HARTMAN ROCKS AREA"
R010966,378714004003,Residential,1,"106 COLUMBINE RD , HARTMAN ROCKS AREA"
R010968,378714004005,Residential,1,"388 COLUMBINE RD , HARTMAN ROCKS AREA"
R010969,378714004006,Residential,1,"72 COLUMBINE RD , HARTMAN ROCKS AREA"
R010970,378714004007,Residential,1,"48 COLUMBINE RD , HARTMAN ROCKS AREA"
R010971,378714004054,Residential,1,"400 COLUMBINE RD , HARTMAN ROCKS AREA"
R010973,378714004055,Mixed Use,1,"18 COLUMBINE RD , HARTMAN ROCKS AREA"
R010974,378714004056,Vacant,1,","
R010977,378714005024,Residential,1,"67 CROCUS RD , HARTMAN ROCKS AREA"
R010978,378714005023,Residential,1,"377 CROCUS RD , HARTMAN ROCKS AREA"
R010981,378714005022,Residential,1,"229 CROCUS RD , HARTMAN ROCKS AREA"
R010982,378714005053,Vacant,1,","
R010984,378714006061,Residential,1,"406 CROCUS RD , HARTMAN ROCKS AREA"
R010987,378714006050,Residential,1,"324 CROCUS RD , HARTMAN ROCKS AREA"
R010988,378714006006,Residential,1,"270 CROCUS RD , HARTMAN ROCKS AREA"
R010989,378714006007,Residential,1,"244 CROCUS RD , HARTMAN ROCKS AREA"
R010990,378714006046,Residential,1,"216 CROCUS RD , HARTMAN ROCKS AREA"
R010994,378714006053,Residential,1,"108 CROCUS RD , HARTMAN ROCKS AREA"
R010995,378714006054,Residential,1,"82 CROCUS RD , HARTMAN ROCKS AREA"
R010996,378714006056,Residential,1,"54 CROCUS RD , HARTMAN ROCKS AREA"
R010997,378714006043,Residential,1,"56 IRIS RD , HARTMAN ROCKS AREA"
R010998,378714006058,Vacant,1,","
R010999,378714201001,Vacant,1,", HARTMAN ROCKS AREA"
R011000,378714201002,Residential,1,"33 WILLOW TRL , HARTMAN ROCKS AREA"
R011001,378714201003,Residential,1,"41 WILLOW TRL , HARTMAN ROCKS AREA"
R011002,378714201004,Residential,1,"59 ASPEN TRL , HARTMAN ROCKS AREA"
R011003,378714201005,Residential,1,"60 ASPEN TRL , HARTMAN ROCKS AREA"
R011004,378714201006,Residential,1,"79 ASPEN TRL , HARTMAN ROCKS AREA"
